feature	importance
Locus_1_A12	178279.319291
Locus_10_A19	17880.076138
Locus_10_A13	12348.162998
Locus_10_A18	8571.344518
Locus_9_A8	7917.740921
Locus_1_A4	5944.189052
Locus_6_A14	4514.984701
Locus_7_A7	4278.438447
Locus_4_A7	4152.19721
Locus_10_A10	3659.71049
Locus_1_A7	2894.220325
Locus_8_A8	2393.568137
Locus_6_A6	2032.328743
Locus_2_A2	1743.947729
Locus_5_A8	1364.994777
Locus_3_A15	1230.522425
Locus_3_A6	1136.853434
Locus_2_A5	983.040753
Locus_3_A8	811.604005
Locus_6_A5	670.402483
Locus_4_A15	608.931435
Locus_8_A6	363.406006
Locus_3_A14	351.169115
Locus_8_A7	294.692931
Locus_3_A3	98.586546
Locus_7_A6	28.405397
Locus_2_A8	10.075039
Locus_7_A5	2.018328
Locus_5_A18	1.241894
Locus_9_A10	0.0
Locus_8_A3	0.0
Locus_9_A4	0.0
Locus_9_A12	0.0
Locus_9_A7	0.0
Locus_7_A3	0.0
Locus_5_A16	0.0
Locus_6_A9	0.0
Locus_6_A4	0.0
Locus_5_missing	0.0
Locus_5_A5	0.0
Locus_5_A3	0.0
Locus_4_A4	0.0
Locus_4_A17	0.0
Locus_4_A16	0.0
Locus_2_missing	0.0
Locus_2_A7	0.0
Locus_2_A13	0.0
Locus_1_A6	0.0
Locus_1_A1	0.0
Locus_9_A9	0.0
