feature	train_mean	train_std	test_mean	test_std
Locus_3_A14	1.065267	0.142798	0.511556	0.117198
Locus_8_A3	1.065267	0.142798	0.511556	0.117198
Locus_2_A13	1.065267	0.142798	0.511556	0.117198
Locus_1_A12	0.632431	0.0608	0.632942	0.262089
Locus_9_A7	0.56737	0.158613	0.438034	0.177207
Locus_6_A4	0.519888	0.102335	0.04799	0.067185
Locus_10_A13	0.495296	0.111883	0.578645	0.196399
Locus_9_A4	0.457711	0.049645	0.466723	0.083922
Locus_10_A19	0.419579	0.092704	0.028857	0.229345
Locus_3_A8	0.419579	0.092704	0.028857	0.229345
Locus_2_A7	0.419579	0.092704	0.028857	0.229345
Locus_9_A9	0.411942	0.115347	0.417207	0.179262
Locus_3_A3	0.393655	0.111472	0.342272	0.087725
Locus_8_A13	0.392048	0.037622	0.526753	0.086642
Locus_2_A5	0.381283	0.10909	0.440247	0.139153
Locus_6_A5	0.339204	0.095455	0.021741	0.229578
Locus_4_A5	0.339204	0.095455	0.021741	0.229578
Locus_2_A8	0.337448	0.060718	0.308126	0.249441
Locus_4_A17	0.33394	0.034969	0.450665	0.079766
Locus_7_A6	0.318464	0.112429	0.296475	0.213444
Locus_8_A7	0.273593	0.049901	0.230056	0.338514
Locus_7_A10	0.257788	0.111292	0.229948	0.109574
Locus_10_A10	0.257788	0.111292	0.229948	0.109574
Locus_5_A15	0.248473	0.115307	0.230046	0.10958
Locus_6_A6	0.226728	0.052207	0.159618	0.069735
Locus_3_A15	0.218648	0.116251	0.295418	0.136676
Locus_4_A15	0.204416	0.04566	0.1379	0.247564
Locus_4_A4	0.119248	0.036534	0.160914	0.07744
Locus_5_A18	0.118351	0.02076	0.079688	0.221843
Locus_8_A2	0.096288	0.053183	0.032697	0.026714
Locus_7_A5	0.081392	0.013068	0.077171	0.231977
Locus_10_A18	0.077855	0.040973	0.038972	0.108118
Locus_1_A7	0.0	0.0	0.0	0.0
Locus_9_A8	0.0	0.0	0.0	0.0
Locus_10_A17	0.0	0.0	0.0	0.0
Locus_8_A8	0.0	0.0	0.0	0.0
Locus_1_A4	0.0	0.0	0.0	0.0
Locus_8_A6	0.0	0.0	0.0	0.0
Locus_1_A6	0.0	0.0	0.0	0.0
Locus_2_missing	0.0	0.0	0.0	0.0
Locus_7_A7	0.0	0.0	0.0	0.0
Locus_2_A2	0.0	0.0	0.0	0.0
Locus_4_A7	0.0	0.0	0.0	0.0
Locus_6_A9	0.0	0.0	0.0	0.0
Locus_6_A14	0.0	0.0	0.0	0.0
Locus_5_A8	0.0	0.0	0.0	0.0
Locus_5_A5	0.0	0.0	0.0	0.0
Locus_5_A16	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_5_A11	0.0	0.0	0.0	0.0
