feature	train_mean	train_std	test_mean	test_std
Locus_5_A16	18.978053	1.162656	19.293484	2.056611
Locus_3_A9	8.3221	0.518926	4.790055	0.764061
Locus_5_A5	4.739239	0.361435	4.025011	0.859389
Locus_9_A8	3.003255	0.236675	3.041564	0.493661
Locus_1_A4	1.867599	0.27858	1.518291	0.500239
Locus_10_A2	0.801234	0.126274	1.939272	0.554629
Locus_1_A1	0.724404	0.018587	0.16006	0.0
Locus_5_missing	0.649006	0.019829	0.139125	0.002724
Locus_8_A6	0.479111	0.11675	1.357933	0.616909
Locus_4_A15	0.461046	0.137861	1.523499	0.450406
Locus_8_A8	0.130972	0.10378	0.315867	0.503319
Locus_7_A10	0.093306	0.01372	0.134982	0.039575
Locus_7_A7	0.052158	0.011904	-0.028564	0.026961
Locus_2_missing	0.037255	0.045957	0.012074	0.035397
Locus_4_A17	0.026924	0.009265	0.010318	0.008715
Locus_2_A5	0.025733	0.007594	0.053955	0.016896
Locus_3_A15	0.017543	0.015905	-0.004028	0.012895
Locus_5_A8	0.01288	0.027345	0.003987	0.010433
Locus_6_A5	0.010311	0.004962	0.015445	0.016603
Locus_3_A16	0.002807	0.003147	0.003483	0.011878
Locus_7_A5	0.0	0.0	0.0	0.0
Locus_7_missing	0.0	0.0	0.0	0.0
Locus_8_A13	0.0	0.0	0.0	0.0
Locus_9_A10	0.0	0.0	0.0	0.0
Locus_6_A9	0.0	0.0	0.0	0.0
Locus_9_A12	0.0	0.0	0.0	0.0
Locus_6_A4	0.0	0.0	0.0	0.0
Locus_9_A3	0.0	0.0	0.0	0.0
Locus_9_A7	0.0	0.0	0.0	0.0
Locus_10_A13	0.0	0.0	0.0	0.0
Locus_4_A7	0.0	0.0	0.0	0.0
Locus_2_A8	0.0	0.0	0.0	0.0
Locus_2_A7	0.0	0.0	0.0	0.0
Locus_10_A17	0.0	0.0	0.0	0.0
Locus_10_A18	0.0	0.0	0.0	0.0
Locus_10_A19	0.0	0.0	0.0	0.0
Locus_1_A12	0.0	0.0	0.0	0.0
Locus_1_A6	0.0	0.0	0.0	0.0
Locus_2_A13	0.0	0.0	0.0	0.0
Locus_2_A2	0.0	0.0	0.0	0.0
Locus_9_A9	0.0	0.0	0.0	0.0
Locus_5_A18	0.0	0.0	0.0	0.0
Locus_3_A6	0.0	0.0	0.0	0.0
Locus_4_A10	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_10_A16	0.0	0.0	0.0	0.0
Locus_5_A11	0.0	0.0	0.0	0.0
Locus_5_A15	0.0	0.0	0.0	0.0
Locus_3_A14	-0.000123	0.003649	0.003652	0.010956
Locus_5_A3	-0.013101	0.007333	0.009972	0.013356
