feature	importance
Locus_5_A16	0.318876
Locus_6_A4	0.162366
Locus_2_A13	0.15005
Locus_1_A12	0.110182
Locus_5_A11	0.050045
Locus_3_A9	0.02419
Locus_5_A5	0.021475
Locus_10_A16	0.020777
Locus_10_A2	0.018126
Locus_9_A9	0.01734
Locus_9_A10	0.014401
Locus_9_A3	0.01416
Locus_2_missing	0.011703
Locus_1_A4	0.011274
Locus_4_A7	0.010137
Locus_8_A8	0.008356
Locus_4_A10	0.007906
Locus_10_A10	0.005097
Locus_6_A9	0.004145
Locus_9_A4	0.003468
Locus_9_A7	0.003448
Locus_4_A4	0.002481
Locus_8_A13	0.00236
Locus_1_A6	0.002172
Locus_10_A19	0.002138
Locus_3_missing	0.00079
Locus_8_A3	0.000712
Locus_8_A6	0.000532
Locus_3_A14	0.0004
Locus_7_missing	0.000236
Locus_4_A15	0.000138
Locus_3_A16	0.000104
Locus_2_A5	9.6e-05
Locus_9_A8	8.8e-05
Locus_7_A5	6.3e-05
Locus_4_missing	4.7e-05
Locus_9_A12	3.3e-05
Locus_10_A8	3e-05
Locus_3_A8	2.2e-05
Locus_10_A17	2.2e-05
Locus_7_A10	1.2e-05
Locus_4_A5	5e-06
Locus_7_A6	0.0
Locus_7_A14	0.0
Locus_7_A15	0.0
Locus_7_A3	0.0
Locus_8_A7	0.0
Locus_7_A7	0.0
Locus_8_A2	0.0
Locus_10_A18	0.0
Locus_8_missing	0.0
Locus_8_A5	0.0
Locus_7_A8	0.0
Locus_2_A7	0.0
Locus_6_A6	0.0
Locus_6_A5	0.0
Locus_2_A9	0.0
Locus_3_A15	0.0
Locus_3_A18	0.0
Locus_3_A3	0.0
Locus_3_A6	0.0
Locus_2_A2	0.0
Locus_1_A8	0.0
Locus_4_A16	0.0
Locus_4_A17	0.0
Locus_4_A2	0.0
Locus_1_A7	0.0
Locus_10_A13	0.0
Locus_5_A15	0.0
Locus_1_A3	0.0
Locus_5_A17	0.0
Locus_5_A18	0.0
Locus_5_A3	0.0
Locus_1_A1	0.0
Locus_5_A8	0.0
Locus_2_A8	0.0
Locus_6_A14	0.0
Locus_5_missing	0.0
