feature	train_mean	train_std	test_mean	test_std
Locus_2_A13	6.996897	0.49907	6.578805	0.313065
Locus_3_A15	1.842302	0.217263	1.566751	0.181196
Locus_1_A12	1.407108	0.156396	1.641898	0.266827
Locus_10_A13	0.948409	0.104356	1.323658	0.50324
Locus_9_A9	0.558992	0.10088	0.761736	0.204743
Locus_8_A5	0.495411	0.087815	0.356247	0.091863
Locus_2_A5	0.223484	0.036268	0.345582	0.041588
Locus_2_A8	0.206681	0.042864	0.211626	0.111392
Locus_2_A7	0.109913	0.025089	0.055433	0.028716
Locus_7_A7	0.079459	0.01414	0.133442	0.060616
Locus_9_A7	0.055285	0.02472	0.07557	0.060317
Locus_6_A4	0.026829	0.006066	0.014359	0.007755
Locus_10_A19	0.017404	0.006083	0.0068	0.007754
Locus_3_A8	0.01673	0.005864	0.006504	0.007474
Locus_6_A5	0.011924	0.004632	0.003924	0.005953
Locus_7_A6	0.0	0.0	0.0	0.0
Locus_6_A6	0.0	0.0	0.0	0.0
Locus_6_A14	0.0	0.0	0.0	0.0
Locus_6_A9	0.0	0.0	0.0	0.0
Locus_7_A5	0.0	0.0	0.0	0.0
Locus_8_A3	0.0	0.0	0.0	0.0
Locus_8_A13	0.0	0.0	0.0	0.0
Locus_8_A2	0.0	0.0	0.0	0.0
Locus_5_A3	0.0	0.0	0.0	0.0
Locus_8_A7	0.0	0.0	0.0	0.0
Locus_8_A8	0.0	0.0	0.0	0.0
Locus_9_A4	0.0	0.0	0.0	0.0
Locus_9_A8	0.0	0.0	0.0	0.0
Locus_5_A8	0.0	0.0	0.0	0.0
Locus_10_A10	0.0	0.0	0.0	0.0
Locus_5_A18	0.0	0.0	0.0	0.0
Locus_5_A17	0.0	0.0	0.0	0.0
Locus_10_A17	0.0	0.0	0.0	0.0
Locus_10_A18	0.0	0.0	0.0	0.0
Locus_1_A4	0.0	0.0	0.0	0.0
Locus_1_A6	0.0	0.0	0.0	0.0
Locus_1_A7	0.0	0.0	0.0	0.0
Locus_2_A2	0.0	0.0	0.0	0.0
Locus_3_A14	0.0	0.0	0.0	0.0
Locus_3_A3	0.0	0.0	0.0	0.0
Locus_3_A6	0.0	0.0	0.0	0.0
Locus_3_A9	0.0	0.0	0.0	0.0
Locus_4_A15	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_4_A17	0.0	0.0	0.0	0.0
Locus_4_A4	0.0	0.0	0.0	0.0
Locus_4_A5	0.0	0.0	0.0	0.0
Locus_5_A16	0.0	0.0	0.0	0.0
Locus_4_A7	0.0	0.0	0.0	0.0
Locus_8_A6	-0.000541	0.002382	0.008045	0.006705
