feature	importance
Locus_10_A10	0.0
Locus_7_A6	0.0
Locus_5_A17	0.0
Locus_5_A18	0.0
Locus_5_A3	0.0
Locus_5_A8	0.0
Locus_6_A14	0.0
Locus_6_A4	0.0
Locus_6_A5	0.0
Locus_6_A6	0.0
Locus_6_A9	0.0
Locus_7_A5	0.0
Locus_7_A7	0.0
Locus_10_A13	0.0
Locus_8_A13	0.0
Locus_8_A2	0.0
Locus_8_A3	0.0
Locus_8_A5	0.0
Locus_8_A6	0.0
Locus_8_A7	0.0
Locus_8_A8	0.0
Locus_9_A4	0.0
Locus_9_A7	0.0
Locus_9_A8	0.0
Locus_5_A16	0.0
Locus_4_A7	0.0
Locus_4_A5	0.0
Locus_4_A4	0.0
Locus_10_A17	0.0
Locus_10_A18	0.0
Locus_10_A19	0.0
Locus_1_A12	0.0
Locus_1_A4	0.0
Locus_1_A6	0.0
Locus_1_A7	0.0
Locus_2_A13	0.0
Locus_2_A2	0.0
Locus_2_A5	0.0
Locus_2_A7	0.0
Locus_2_A8	0.0
Locus_3_A14	0.0
Locus_3_A15	0.0
Locus_3_A3	0.0
Locus_3_A6	0.0
Locus_3_A8	0.0
Locus_3_A9	0.0
Locus_4_A15	0.0
Locus_4_A16	0.0
Locus_4_A17	0.0
Locus_9_A9	0.0
